dataset,algorithm,topk,ndcg_exc,ndcg_inc,recall_exc,recall_inc,precision_exc,precision_inc,map_exc,map_inc,ndcg_gap,recall_gap,precision_gap,map_gap
Goodreads Fantasy 10K,EASE,5,0.0848,0.0205,0.1117,0.0253,0.0646,0.0101,0.0508,0.0151,-0.0643,-0.0864,-0.0545,-0.0357
Goodreads Fantasy 10K,EASE,10,0.1186,0.0431,0.1937,0.0816,0.0586,0.0162,0.0633,0.0243,-0.0755,-0.1121,-0.0424,-0.039
Goodreads Fantasy 10K,EASE,20,0.1569,0.0876,0.3004,0.2136,0.047,0.0258,0.0753,0.0356,-0.0693,-0.0868,-0.0212,-0.0397
Goodreads Fantasy 10K,HybridFeatureRerank,5,0.1318,0.0162,0.1693,0.0354,0.0909,0.0121,0.0825,0.0073,-0.1156,-0.1339,-0.0788,-0.0752
Goodreads Fantasy 10K,HybridFeatureRerank,10,0.1685,0.0454,0.2573,0.1077,0.0758,0.0212,0.0969,0.0198,-0.1231,-0.1496,-0.0546,-0.0771
Goodreads Fantasy 10K,HybridFeatureRerank,20,0.1997,0.0962,0.3429,0.2559,0.0535,0.0323,0.1072,0.0331,-0.1035,-0.087,-0.0212,-0.0741
Goodreads Fantasy 10K,Hybrid_NoCollaborativeAblation,5,0.1552,0.0182,0.1846,0.0387,0.097,0.0141,0.1053,0.0082,-0.137,-0.1459,-0.0829,-0.0971
Goodreads Fantasy 10K,Hybrid_NoCollaborativeAblation,10,0.1773,0.0522,0.2397,0.1232,0.0697,0.0242,0.1121,0.0222,-0.1251,-0.1165,-0.0455,-0.0899
Goodreads Fantasy 10K,Hybrid_NoCollaborativeAblation,20,0.196,0.0908,0.2905,0.2313,0.0444,0.0288,0.1183,0.0325,-0.1052,-0.0592,-0.0156,-0.0858
Goodreads Fantasy 10K,Hybrid_NoContentAblation,5,0.0809,0.0106,0.0952,0.0202,0.0566,0.0081,0.0518,0.005,-0.0703,-0.075,-0.0485,-0.0468
Goodreads Fantasy 10K,Hybrid_NoContentAblation,10,0.1071,0.0334,0.1623,0.0791,0.0485,0.0152,0.0599,0.0149,-0.0737,-0.0832,-0.0333,-0.045
Goodreads Fantasy 10K,Hybrid_NoContentAblation,20,0.1426,0.0764,0.2635,0.2072,0.0409,0.0258,0.0717,0.0253,-0.0662,-0.0563,-0.0151,-0.0464
Goodreads Fantasy 10K,Popularity,5,0.0723,0.066,0.0803,0.0741,0.0444,0.0384,0.0481,0.0457,-0.0063,-0.0062,-0.006,-0.0024
Goodreads Fantasy 10K,Popularity,10,0.0911,0.081,0.1264,0.1119,0.0384,0.0313,0.053,0.049,-0.0101,-0.0145,-0.0071,-0.004
Goodreads Fantasy 10K,Popularity,20,0.1067,0.0962,0.1717,0.1515,0.0273,0.0237,0.0561,0.0526,-0.0105,-0.0202,-0.0036,-0.0035
Goodreads Fantasy 10K,SequentialTransition,5,0.0976,0.0657,0.1068,0.0697,0.0687,0.0465,0.0622,0.0414,-0.0319,-0.0371,-0.0222,-0.0208
Goodreads Fantasy 10K,SequentialTransition,10,0.1213,0.0907,0.1681,0.1349,0.0545,0.0404,0.0692,0.0498,-0.0306,-0.0332,-0.0141,-0.0194
Goodreads Fantasy 10K,SequentialTransition,20,0.158,0.1286,0.2757,0.2444,0.0434,0.0374,0.08,0.0604,-0.0294,-0.0313,-0.006,-0.0196
Goodreads Fantasy 10K,TFIDF_Content,5,0.1323,0.0158,0.1594,0.0337,0.0788,0.0121,0.0855,0.0072,-0.1165,-0.1257,-0.0667,-0.0783
Goodreads Fantasy 10K,TFIDF_Content,10,0.1613,0.055,0.2278,0.1316,0.0646,0.0263,0.0969,0.0218,-0.1063,-0.0962,-0.0383,-0.0751
Goodreads Fantasy 10K,TFIDF_Content,20,0.187,0.0878,0.2957,0.2259,0.046,0.0268,0.1045,0.031,-0.0992,-0.0698,-0.0192,-0.0735
Goodreads Fantasy 10K,TruncatedSVD,5,0.0485,0.0051,0.0648,0.0101,0.0283,0.004,0.032,0.0023,-0.0434,-0.0547,-0.0243,-0.0297
Goodreads Fantasy 10K,TruncatedSVD,10,0.0717,0.0241,0.1207,0.0598,0.0283,0.0121,0.04,0.0094,-0.0476,-0.0609,-0.0162,-0.0306
Goodreads Fantasy 10K,TruncatedSVD,20,0.098,0.0564,0.1973,0.1608,0.0247,0.0177,0.0475,0.0178,-0.0416,-0.0365,-0.007,-0.0297
Google Local South Carolina,EASE,5,0.1215,0.031,0.0516,0.0143,0.1152,0.0279,0.0663,0.0156,-0.0905,-0.0373,-0.0873,-0.0507
Google Local South Carolina,EASE,10,0.1153,0.0311,0.0915,0.0274,0.1026,0.0268,0.0471,0.011,-0.0842,-0.0641,-0.0758,-0.0361
Google Local South Carolina,EASE,20,0.1397,0.0455,0.1558,0.0572,0.0876,0.0285,0.0502,0.0129,-0.0942,-0.0986,-0.0591,-0.0373
Google Local South Carolina,HybridFeatureRerank,5,0.1317,0.0235,0.0566,0.0126,0.1256,0.0249,0.0731,0.0108,-0.1082,-0.044,-0.1007,-0.0623
Google Local South Carolina,HybridFeatureRerank,10,0.1217,0.0252,0.0958,0.0244,0.107,0.0244,0.0509,0.0081,-0.0965,-0.0714,-0.0826,-0.0428
Google Local South Carolina,HybridFeatureRerank,20,0.1465,0.0416,0.1617,0.0569,0.0909,0.0289,0.054,0.0105,-0.1049,-0.1048,-0.062,-0.0435
Google Local South Carolina,Hybrid_NoCollaborativeAblation,5,0.0083,0.0058,0.0038,0.003,0.0087,0.0068,0.0038,0.0024,-0.0025,-0.0008,-0.0019,-0.0014
Google Local South Carolina,Hybrid_NoCollaborativeAblation,10,0.0088,0.0064,0.0074,0.0059,0.0088,0.0067,0.0027,0.0018,-0.0024,-0.0015,-0.0021,-0.0009
Google Local South Carolina,Hybrid_NoCollaborativeAblation,20,0.0118,0.0091,0.0148,0.0119,0.0086,0.0068,0.0028,0.002,-0.0027,-0.0029,-0.0018,-0.0008
