dataset,algorithm,metric,mean,ci_low,ci_high,n_users
Goodreads Fantasy 10K,EASE,ndcg,0.11856124420080286,0.0852727308984206,0.15496603587542507,99
Goodreads Fantasy 10K,EASE,recall,0.193706910373577,0.14387506012506013,0.2540502244668911,99
Goodreads Fantasy 10K,HybridFeatureRerank,ndcg,0.16852110223880137,0.1274636132104929,0.2121057775782863,99
Goodreads Fantasy 10K,HybridFeatureRerank,recall,0.25733161339221944,0.19580607663941,0.3200579386943023,99
Goodreads Fantasy 10K,Hybrid_NoCollaborativeAblation,ndcg,0.17728644609310665,0.1310904242278144,0.2207183604492389,99
Goodreads Fantasy 10K,Hybrid_NoCollaborativeAblation,recall,0.23969128514583057,0.18255222681359048,0.30321398508898506,99
Goodreads Fantasy 10K,Hybrid_NoContentAblation,ndcg,0.10709553136243857,0.07568120136136039,0.14371165174967143,99
Goodreads Fantasy 10K,Hybrid_NoContentAblation,recall,0.16234567901234567,0.11626683501683502,0.2138664421997755,99
Goodreads Fantasy 10K,Popularity,ndcg,0.09110572402597644,0.05945604902990983,0.12903437154213435,99
Goodreads Fantasy 10K,Popularity,recall,0.12644300144300144,0.08628938191438189,0.17020232082732084,99
Goodreads Fantasy 10K,SequentialTransition,ndcg,0.12125680030673107,0.08494498003278574,0.15613835029212667,99
Goodreads Fantasy 10K,SequentialTransition,recall,0.16814246359700905,0.11907101316192224,0.22146849993440898,99
Goodreads Fantasy 10K,TFIDF_Content,ndcg,0.16127524101034033,0.12157864534092264,0.20109126019678195,99
Goodreads Fantasy 10K,TFIDF_Content,recall,0.22783462328916876,0.17289004766277494,0.28663313328086054,99
Goodreads Fantasy 10K,TruncatedSVD,ndcg,0.07165992620445169,0.042132013606624295,0.10608110140895405,99
Goodreads Fantasy 10K,TruncatedSVD,recall,0.1207070707070707,0.07744107744107744,0.17005050505050492,99
Google Local South Carolina,EASE,ndcg,0.11529280998296376,0.10911084870884255,0.1215184566165322,1500
Google Local South Carolina,EASE,recall,0.09147970333762136,0.08698930520579791,0.09668385866342649,1500
Google Local South Carolina,HybridFeatureRerank,ndcg,0.12173452497427725,0.1153009612619032,0.1285275858967537,1500
Google Local South Carolina,HybridFeatureRerank,recall,0.0957500743635505,0.09075587691782877,0.10099302853485849,1500
Google Local South Carolina,Hybrid_NoCollaborativeAblation,ndcg,0.008801159639618479,0.007047257397070165,0.010553215357305686,1500
Google Local South Carolina,Hybrid_NoCollaborativeAblation,recall,0.007413844004758339,0.006019950538421069,0.008754133981167483,1500
Google Local South Carolina,Hybrid_NoContentAblation,ndcg,0.12042761653911083,0.11369261640152421,0.12682978231967304,1500
Google Local South Carolina,Hybrid_NoContentAblation,recall,0.09512582500856213,0.09018597644554747,0.0997492676275956,1500
Google Local South Carolina,Popularity,ndcg,0.019714858249759857,0.016903209238544825,0.022315655385241367,1500
Google Local South Carolina,Popularity,recall,0.015223210771604817,0.01328308606464516,0.01729822060009807,1500
Google Local South Carolina,SequentialTransition,ndcg,0.06183125535276179,0.05709053274433642,0.06618004064841998,1500
Google Local South Carolina,SequentialTransition,recall,0.04740814218190424,0.04381584756853752,0.05070025774341128,1500
Google Local South Carolina,TFIDF_Content,ndcg,0.009093759785392423,0.007335229544741329,0.011040473773398318,1500
Google Local South Carolina,TFIDF_Content,recall,0.007448620279844846,0.006107562916822768,0.008909504679252183,1500
Google Local South Carolina,TruncatedSVD,ndcg,0.11240710575014203,0.10620262017567629,0.11884306806974346,1500
Google Local South Carolina,TruncatedSVD,recall,0.08902822357371751,0.08383522499726055,0.09403599331715393,1500
MovieLens 20M,EASE,ndcg,0.20128624539391762,0.19151717157404563,0.21113396918517446,1500
MovieLens 20M,EASE,recall,0.038393322739834666,0.03657698415143261,0.04021243091293398,1500
MovieLens 20M,HybridFeatureRerank,ndcg,0.19767972205128148,0.18812681289219668,0.20638956091673677,1500
MovieLens 20M,HybridFeatureRerank,recall,0.03848680816297467,0.03667529239915022,0.04040549776556549,1500
MovieLens 20M,Hybrid_NoCollaborativeAblation,ndcg,0.05745254987008892,0.053178254161011074,0.06178081744413525,1500
MovieLens 20M,Hybrid_NoCollaborativeAblation,recall,0.01097017804652622,0.01015215705126842,0.011742955828571426,1500
MovieLens 20M,Hybrid_NoContentAblation,ndcg,0.20002058151255567,0.19047776916432693,0.209461343437715,1500
MovieLens 20M,Hybrid_NoContentAblation,recall,0.038673077665283884,0.036805321901700654,0.04055216929725592,1500
MovieLens 20M,Popularity,ndcg,0.1435913571386284,0.13504896080710269,0.15218165619788354,1500
MovieLens 20M,Popularity,recall,0.02675477541427409,0.025129466199554248,0.02847970828663878,1500
MovieLens 20M,SequentialTransition,ndcg,0.159525984530614,0.15067388422988656,0.16888027361371485,1500
MovieLens 20M,SequentialTransition,recall,0.030388363997182727,0.02865108736262727,0.032150557822532407,1500
MovieLens 20M,TFIDF_Content,ndcg,0.0486400606914171,0.04461934717852873,0.05274410326179501,1500
MovieLens 20M,TFIDF_Content,recall,0.00926683969949618,0.008517505764846871,0.010053533831694456,1500
MovieLens 20M,TruncatedSVD,ndcg,0.1815105018829363,0.17308839320111186,0.19083233937697663,1500
MovieLens 20M,TruncatedSVD,recall,0.035517825284521784,0.03368707762793944,0.03721555036023538,1500
