dataset,month,interactions,active_users,active_items
MovieLens 20M,1996-02,49,3,41
MovieLens 20M,1996-03,255,7,135
MovieLens 20M,1996-04,988,31,204
MovieLens 20M,1996-05,3046,77,340
MovieLens 20M,1996-06,5252,121,379
MovieLens 20M,1996-07,4405,118,360
MovieLens 20M,1996-08,3528,107,350
MovieLens 20M,1996-09,2875,92,399
MovieLens 20M,1996-10,4295,119,551
MovieLens 20M,1996-11,3637,97,622
MovieLens 20M,1996-12,3301,97,633
MovieLens 20M,1997-01,2877,87,649
MovieLens 20M,1997-02,1731,67,566
MovieLens 20M,1997-03,2228,77,614
MovieLens 20M,1997-04,1944,69,647
MovieLens 20M,1997-05,2775,79,656
MovieLens 20M,1997-06,1668,56,595
MovieLens 20M,1997-07,1143,53,450
MovieLens 20M,1997-09,641,12,358
MovieLens 20M,1997-10,601,12,373
MovieLens 20M,1997-11,1319,27,518
MovieLens 20M,1997-12,699,14,403
MovieLens 20M,1998-01,836,21,449
MovieLens 20M,1998-02,626,17,414
MovieLens 20M,1998-03,470,14,325
MovieLens 20M,1998-04,326,12,242
MovieLens 20M,1998-05,379,43,267
MovieLens 20M,1998-06,218,14,166
MovieLens 20M,1998-07,3275,46,858
MovieLens 20M,1998-08,775,27,480
MovieLens 20M,1998-09,663,16,475
MovieLens 20M,1998-10,339,12,250
MovieLens 20M,1998-11,796,17,473
MovieLens 20M,1998-12,939,18,547
MovieLens 20M,1999-01,1813,21,821
MovieLens 20M,1999-02,1031,14,624
MovieLens 20M,1999-03,173,10,162
MovieLens 20M,1999-04,473,15,354
MovieLens 20M,1999-05,393,14,288
MovieLens 20M,1999-06,383,16,287
MovieLens 20M,1999-07,257,9,225
MovieLens 20M,1999-08,522,16,374
MovieLens 20M,1999-09,1336,37,532
MovieLens 20M,1999-10,11687,166,1230
MovieLens 20M,1999-11,6740,134,1223
MovieLens 20M,1999-12,15470,206,1488
MovieLens 20M,2000-01,5229,142,1258
MovieLens 20M,2000-02,4696,123,1253
MovieLens 20M,2000-03,4315,108,1199
MovieLens 20M,2000-04,5620,117,1294
MovieLens 20M,2000-05,3411,94,1199
MovieLens 20M,2000-06,3369,96,1192
MovieLens 20M,2000-07,3090,106,1099
MovieLens 20M,2000-08,6977,131,1393
MovieLens 20M,2000-09,3012,83,1145
MovieLens 20M,2000-10,2117,79,1015
MovieLens 20M,2000-11,12384,167,1711
MovieLens 20M,2000-12,5722,132,1447
MovieLens 20M,2001-01,5025,152,1440
MovieLens 20M,2001-02,2718,112,1128
MovieLens 20M,2001-03,2741,100,1148
MovieLens 20M,2001-04,1623,91,836
MovieLens 20M,2001-05,1605,94,890
MovieLens 20M,2001-06,5183,129,1423
MovieLens 20M,2001-07,4903,131,1412
MovieLens 20M,2001-08,3600,117,1301
MovieLens 20M,2001-09,3298,117,1242
MovieLens 20M,2001-10,2272,89,1050
MovieLens 20M,2001-11,4327,117,1483
MovieLens 20M,2001-12,3806,112,1380
MovieLens 20M,2002-01,4615,138,1459
MovieLens 20M,2002-02,2581,108,1203
MovieLens 20M,2002-03,2624,100,1210
MovieLens 20M,2002-04,2721,107,1261
MovieLens 20M,2002-05,2672,98,1178
MovieLens 20M,2002-06,1595,86,903
