dataset,algorithm,topk,mode,ndcg,recall,precision,map,coverage,novelty,train_seconds,inference_ms_per_user,run_status,note
MovieLens 20M,Popularity,5,exc,0.1559,0.0152,0.1528,0.0964,0.0191,0.0479,0.003,0.174,done,
MovieLens 20M,Popularity,10,exc,0.1436,0.0268,0.1367,0.0702,0.0281,0.0713,0.003,0.174,done,
MovieLens 20M,Popularity,20,exc,0.1325,0.0488,0.1245,0.05,0.0391,0.1032,0.003,0.174,done,
MovieLens 20M,Popularity,5,inc,0.0601,0.0065,0.0596,0.0326,0.0016,0.0166,0.003,0.174,done,
MovieLens 20M,Popularity,10,inc,0.061,0.0132,0.0612,0.0239,0.0031,0.0329,0.003,0.174,done,
MovieLens 20M,Popularity,20,inc,0.059,0.0248,0.0583,0.0167,0.0063,0.0582,0.003,0.174,done,
MovieLens 20M,TruncatedSVD,5,exc,0.1931,0.0188,0.1847,0.1183,0.1634,0.2507,0.517,0.218,done,
MovieLens 20M,TruncatedSVD,10,exc,0.1815,0.0355,0.1723,0.0864,0.2044,0.2669,0.517,0.218,done,
MovieLens 20M,TruncatedSVD,20,exc,0.1664,0.0639,0.1555,0.0618,0.2587,0.2879,0.517,0.218,done,
MovieLens 20M,TruncatedSVD,5,inc,0.0017,0.0002,0.0017,0.0008,0.0694,0.1169,0.517,0.218,done,
MovieLens 20M,TruncatedSVD,10,inc,0.0033,0.0008,0.0041,0.0008,0.0916,0.1293,0.517,0.218,done,
MovieLens 20M,TruncatedSVD,20,inc,0.0072,0.0044,0.0093,0.0011,0.1316,0.1543,0.517,0.218,done,
MovieLens 20M,EASE,5,exc,0.2182,0.021,0.2093,0.1382,0.1356,0.1764,5.8,9.281,done,
MovieLens 20M,EASE,10,exc,0.2013,0.0384,0.1897,0.1016,0.1894,0.2014,5.8,9.281,done,
MovieLens 20M,EASE,20,exc,0.1845,0.0697,0.1716,0.0735,0.2622,0.2324,5.8,9.281,done,
MovieLens 20M,EASE,5,inc,0.0054,0.0008,0.0056,0.0025,0.0912,0.1229,5.8,9.281,done,
MovieLens 20M,EASE,10,inc,0.0069,0.002,0.0077,0.0019,0.1372,0.1416,5.8,9.281,done,
MovieLens 20M,EASE,20,inc,0.0098,0.006,0.0115,0.0017,0.2016,0.1693,5.8,9.281,done,
MovieLens 20M,TFIDF_Content,5,exc,0.0509,0.0047,0.0496,0.026,0.1009,0.6348,0.261,1.339,done,
MovieLens 20M,TFIDF_Content,10,exc,0.0486,0.0093,0.0469,0.0171,0.1525,0.6401,0.261,1.339,done,
MovieLens 20M,TFIDF_Content,20,exc,0.0469,0.0176,0.0454,0.0114,0.23,0.6464,0.261,1.339,done,
MovieLens 20M,TFIDF_Content,5,inc,0.0212,0.002,0.022,0.0098,0.1394,0.5008,0.261,1.339,done,
MovieLens 20M,TFIDF_Content,10,inc,0.0222,0.0043,0.0231,0.0068,0.2097,0.5115,0.261,1.339,done,
MovieLens 20M,TFIDF_Content,20,inc,0.0238,0.0096,0.0249,0.0047,0.3106,0.5277,0.261,1.339,done,
MovieLens 20M,SequentialTransition,5,exc,0.1706,0.0168,0.1657,0.1044,0.1397,0.09,5.319,0.302,done,
MovieLens 20M,SequentialTransition,10,exc,0.1595,0.0304,0.1523,0.0766,0.2344,0.1119,5.319,0.302,done,
MovieLens 20M,SequentialTransition,20,exc,0.1456,0.0539,0.1361,0.0549,0.3791,0.144,5.319,0.302,done,
MovieLens 20M,SequentialTransition,5,inc,0.0701,0.0076,0.0688,0.0381,0.0931,0.0518,5.319,0.302,done,
MovieLens 20M,SequentialTransition,10,inc,0.0679,0.0145,0.0665,0.0264,0.15,0.0637,5.319,0.302,done,
MovieLens 20M,SequentialTransition,20,inc,0.0663,0.0281,0.0649,0.0187,0.2531,0.0869,5.319,0.302,done,
MovieLens 20M,HybridFeatureRerank,5,exc,0.212,0.0207,0.2037,0.1329,0.1506,0.2157,0.0,55.624,done,
MovieLens 20M,HybridFeatureRerank,10,exc,0.1977,0.0385,0.1871,0.0976,0.2019,0.237,0.0,55.624,done,
MovieLens 20M,HybridFeatureRerank,20,exc,0.1793,0.0683,0.1662,0.0701,0.2656,0.2632,0.0,55.624,done,
MovieLens 20M,HybridFeatureRerank,5,inc,0.0013,0.0002,0.0016,0.0005,0.0775,0.119,0.0,55.624,done,
MovieLens 20M,HybridFeatureRerank,10,inc,0.003,0.001,0.0039,0.0007,0.1169,0.1372,0.0,55.624,done,
MovieLens 20M,HybridFeatureRerank,20,inc,0.0057,0.0037,0.0073,0.0008,0.1831,0.1654,0.0,55.624,done,
MovieLens 20M,Hybrid_NoContentAblation,5,exc,0.2151,0.0207,0.2057,0.1357,0.1453,0.209,0.0,53.562,ablation,
MovieLens 20M,Hybrid_NoContentAblation,10,exc,0.2,0.0387,0.1886,0.0996,0.1909,0.2265,0.0,53.562,ablation,
MovieLens 20M,Hybrid_NoContentAblation,20,exc,0.1828,0.0695,0.1699,0.0718,0.255,0.251,0.0,53.562,ablation,
MovieLens 20M,Hybrid_NoContentAblation,5,inc,0.0018,0.0003,0.002,0.0007,0.0759,0.1174,0.0,53.562,ablation,
MovieLens 20M,Hybrid_NoContentAblation,10,inc,0.0034,0.0011,0.0043,0.0009,0.1094,0.1332,0.0,53.562,ablation,
MovieLens 20M,Hybrid_NoContentAblation,20,inc,0.0073,0.0048,0.0094,0.001,0.1644,0.1585,0.0,53.562,ablation,
MovieLens 20M,Hybrid_NoCollaborativeAblation,5,exc,0.0604,0.0061,0.0608,0.0301,0.1075,0.6268,0.0,55.275,ablation,
MovieLens 20M,Hybrid_NoCollaborativeAblation,10,exc,0.0575,0.011,0.0563,0.0201,0.1628,0.6225,0.0,55.275,ablation,
MovieLens 20M,Hybrid_NoCollaborativeAblation,20,exc,0.0545,0.0205,0.0526,0.0135,0.2528,0.6248,0.0,55.275,ablation,
MovieLens 20M,Hybrid_NoCollaborativeAblation,5,inc,0.0136,0.0013,0.0147,0.006,0.1344,0.3853,0.0,55.275,ablation,
MovieLens 20M,Hybrid_NoCollaborativeAblation,10,inc,0.0178,0.004,0.0202,0.0049,0.2025,0.4201,0.0,55.275,ablation,
MovieLens 20M,Hybrid_NoCollaborativeAblation,20,inc,0.0214,0.0093,0.0242,0.0038,0.3109,0.4509,0.0,55.275,ablation,
Google Local South Carolina,Popularity,5,exc,0.02,0.0079,0.0179,0.0099,0.0031,0.136,0.001,0.167,done,
Google Local South Carolina,Popularity,10,exc,0.0197,0.0152,0.0172,0.0067,0.005,0.1969,0.001,0.167,done,
Google Local South Carolina,Popularity,20,exc,0.0236,0.0257,0.0147,0.0065,0.0097,0.256,0.001,0.167,done,
Google Local South Carolina,Popularity,5,inc,0.0188,0.0074,0.0165,0.0094,0.0016,0.1278,0.001,0.167,done,
Google Local South Carolina,Popularity,10,inc,0.0189,0.0147,0.0165,0.0064,0.0031,0.1861,0.001,0.167,done,
Google Local South Carolina,Popularity,20,inc,0.0225,0.0247,0.014,0.0062,0.0063,0.2496,0.001,0.167,done,
Google Local South Carolina,TruncatedSVD,5,exc,0.1188,0.0505,0.1125,0.0655,0.2238,0.5177,0.31,0.218,done,
Google Local South Carolina,TruncatedSVD,10,exc,0.1124,0.089,0.0999,0.0463,0.3441,0.554,0.31,0.218,done,
Google Local South Carolina,TruncatedSVD,20,exc,0.1352,0.1503,0.0847,0.0489,0.5156,0.5962,0.31,0.218,done,
Google Local South Carolina,TruncatedSVD,5,inc,0.0374,0.0206,0.0412,0.0172,0.1272,0.4276,0.31,0.218,done,
Google Local South Carolina,TruncatedSVD,10,inc,0.0438,0.0439,0.0449,0.0143,0.2059,0.4855,0.31,0.218,done,
Google Local South Carolina,TruncatedSVD,20,inc,0.0677,0.0917,0.048,0.0185,0.3566,0.5455,0.31,0.218,done,
Google Local South Carolina,EASE,5,exc,0.1215,0.0516,0.1152,0.0663,0.2241,0.4451,4.377,10.716,done,
Google Local South Carolina,EASE,10,exc,0.1153,0.0915,0.1026,0.0471,0.3706,0.498,4.377,10.716,done,
Google Local South Carolina,EASE,20,exc,0.1397,0.1558,0.0876,0.0502,0.5628,0.5493,4.377,10.716,done,
Google Local South Carolina,EASE,5,inc,0.031,0.0143,0.0279,0.0156,0.2825,0.4553,4.377,10.716,done,
Google Local South Carolina,EASE,10,inc,0.0311,0.0274,0.0268,0.011,0.515,0.5207,4.377,10.716,done,
Google Local South Carolina,EASE,20,inc,0.0455,0.0572,0.0285,0.0129,0.8153,0.5845,4.377,10.716,done,
Google Local South Carolina,TFIDF_Content,5,exc,0.0095,0.0042,0.0095,0.0045,0.3594,0.6995,0.365,5.346,done,
Google Local South Carolina,TFIDF_Content,10,exc,0.0091,0.0074,0.0085,0.003,0.4547,0.7054,0.365,5.346,done,
Google Local South Carolina,TFIDF_Content,20,exc,0.0118,0.0137,0.0078,0.003,0.5038,0.7157,0.365,5.346,done,
Google Local South Carolina,TFIDF_Content,5,inc,0.0074,0.0034,0.0076,0.0034,0.4031,0.6956,0.365,5.346,done,
Google Local South Carolina,TFIDF_Content,10,inc,0.0076,0.0066,0.0075,0.0024,0.5094,0.7009,0.365,5.346,done,
Google Local South Carolina,TFIDF_Content,20,inc,0.01,0.012,0.0069,0.0025,0.5941,0.7116,0.365,5.346,done,
Google Local South Carolina,SequentialTransition,5,exc,0.067,0.0272,0.0599,0.0351,0.4178,0.3976,3.166,0.27,done,
