dataset,algorithm,rfm_segment,ndcg,recall,n_users
Goodreads Fantasy 10K,EASE,At Risk,0.09541337708131516,0.2037037037037037,18
Goodreads Fantasy 10K,EASE,Champions,0.1279688498103564,0.16370091896407687,19
Goodreads Fantasy 10K,EASE,Loyal,0.1309122551620653,0.17976190476190476,28
Goodreads Fantasy 10K,EASE,Potential,0.11538738522003561,0.21666666666666667,34
Goodreads Fantasy 10K,HybridFeatureRerank,At Risk,0.15679912147430403,0.287037037037037,18
Goodreads Fantasy 10K,HybridFeatureRerank,Champions,0.16433322499765946,0.17754993544467226,19
Goodreads Fantasy 10K,HybridFeatureRerank,Loyal,0.16147662107843216,0.2511904761904762,28
Goodreads Fantasy 10K,HybridFeatureRerank,Potential,0.18286847852800683,0.29124649859943974,34
Goodreads Fantasy 10K,Hybrid_NoCollaborativeAblation,At Risk,0.13642250831041447,0.19444444444444445,18
Goodreads Fantasy 10K,Hybrid_NoCollaborativeAblation,Champions,0.14489343538804025,0.14403053087263615,19
Goodreads Fantasy 10K,Hybrid_NoCollaborativeAblation,Loyal,0.19946627332416406,0.2955357142857143,28
Goodreads Fantasy 10K,Hybrid_NoCollaborativeAblation,Potential,0.19875653200531582,0.2711134453781513,34
Goodreads Fantasy 10K,Hybrid_NoContentAblation,At Risk,0.09196177031652329,0.14814814814814814,18
Goodreads Fantasy 10K,Hybrid_NoContentAblation,Champions,0.11462145736451763,0.14239766081871344,19
Goodreads Fantasy 10K,Hybrid_NoContentAblation,Loyal,0.11546210629564169,0.1351190476190476,28
Goodreads Fantasy 10K,Hybrid_NoContentAblation,Potential,0.10401173744059405,0.20343137254901958,34
Goodreads Fantasy 10K,Popularity,At Risk,0.15465109825067938,0.18518518518518517,18
Goodreads Fantasy 10K,Popularity,Champions,0.1343971810751039,0.15664160401002505,19
Goodreads Fantasy 10K,Popularity,Loyal,0.05539904131623369,0.08125,28
Goodreads Fantasy 10K,Popularity,Potential,0.06267727390523296,0.11568627450980391,34
Goodreads Fantasy 10K,SequentialTransition,At Risk,0.0214918226241412,0.027777777777777776,18
Goodreads Fantasy 10K,SequentialTransition,Champions,0.1884584587682816,0.22867965367965368,19
Goodreads Fantasy 10K,SequentialTransition,Loyal,0.11006922519843365,0.16785714285714287,28
Goodreads Fantasy 10K,SequentialTransition,Potential,0.14573298238171595,0.20885854341736695,34
Goodreads Fantasy 10K,TFIDF_Content,At Risk,0.13562818940870214,0.19444444444444445,18
Goodreads Fantasy 10K,TFIDF_Content,Champions,0.13632127669601474,0.13745158350421507,19
Goodreads Fantasy 10K,TFIDF_Content,Loyal,0.1486861482868278,0.25744047619047616,28
Goodreads Fantasy 10K,TFIDF_Content,Potential,0.19916544239445869,0.27163865546218485,34
Goodreads Fantasy 10K,TruncatedSVD,At Risk,0.10982111822079976,0.14814814814814814,18
Goodreads Fantasy 10K,TruncatedSVD,Champions,0.009763736838566591,0.01929824561403509,19
Goodreads Fantasy 10K,TruncatedSVD,Loyal,0.06488539778623695,0.1130952380952381,28
Goodreads Fantasy 10K,TruncatedSVD,Potential,0.09162501259761534,0.16911764705882354,34
Google Local South Carolina,EASE,At Risk,0.04714463314354671,0.05119047619047619,15
Google Local South Carolina,EASE,Champions,0.1299184879539484,0.09858697632287487,536
Google Local South Carolina,EASE,Loyal,0.11061690863632787,0.08957988431803621,630
Google Local South Carolina,EASE,Potential,0.10315700154573518,0.08518417377476853,319
Google Local South Carolina,HybridFeatureRerank,At Risk,0.04449498710469428,0.060714285714285714,15
Google Local South Carolina,HybridFeatureRerank,Champions,0.13825846044520163,0.10324185168227296,536
Google Local South Carolina,HybridFeatureRerank,Loyal,0.11471011300789077,0.09197455160276513,630
Google Local South Carolina,HybridFeatureRerank,Potential,0.11147478577193172,0.09226582209458042,319
Google Local South Carolina,Hybrid_NoCollaborativeAblation,At Risk,0.0,0.0,15
Google Local South Carolina,Hybrid_NoCollaborativeAblation,Champions,0.00824698934138932,0.007033642796344381,536
Google Local South Carolina,Hybrid_NoCollaborativeAblation,Loyal,0.009939516850007218,0.007795922767014179,630
Google Local South Carolina,Hybrid_NoCollaborativeAblation,Potential,0.007897986071907514,0.0076467151256363235,319
Google Local South Carolina,Hybrid_NoContentAblation,At Risk,0.03967832682858362,0.04285714285714285,15
Google Local South Carolina,Hybrid_NoContentAblation,Champions,0.13725759883301894,0.10452311051548609,536
Google Local South Carolina,Hybrid_NoContentAblation,Loyal,0.11456905578046796,0.09271083807269383,630
Google Local South Carolina,Hybrid_NoContentAblation,Potential,0.10751621250797659,0.08656321362974422,319
